filename,city,period,year,quarter,cloud_cover_pct,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,bsi_mean,bsi_std,bsi_min,bsi_max,valid_pixels_pct
../data/raw/S2_2024_Q1_Mariupol_clean.npy,Mariupol,2024_Q1,2024,Q1,0.574517,-0.021592262102538264,0.15773656424898766,-0.2683095728914149,0.5465524961156364,0.015161489336204172,0.09972786728726139,-0.4117045719150974,0.6086441467582172,0.025211864694604926,0.07915363318447487,-0.26953505873185807,0.4552098125604485,99.94154141766133
../data/raw/S2_2024_Q2_Mariupol_clean.npy,Mariupol,2024_Q2,2024,Q2,22.4621,0.10268792933362221,0.21157773311670275,-0.5217100590714895,0.9999994623658823,-0.025517105900956884,0.09016518791943973,-0.48143939911900113,0.9512833821185355,-0.013379080494260159,0.07202093705547258,-0.3878916948451806,0.9512833821185355,67.92944260800182
../data/raw/S2_2021_Q1_Kharkiv_clean.npy,Kharkiv,2021_Q1,2021,Q1,27.604306,0.17978079208370074,0.11209946828283171,-0.41353352892397677,0.9053249136759377,0.21073934061554883,0.11951475746761328,-0.3649588646503085,0.6825852600590248,0.17227125713580993,0.09783945421651573,-0.2980716009378401,0.59344749093773,1.3683303393192798
../data/raw/S2_2021_Q2_Kharkiv_clean.npy,Kharkiv,2021_Q2,2021,Q2,28.246025,0.6951188437833619,0.20880826354911872,-0.9999997685185781,0.9999999811106913,-0.2815885947599289,0.16132930352793817,-0.8801497752360219,0.9999999408633985,-0.246772722527587,0.15915911910889105,-0.9083133521595144,0.8954715027144476,63.40824786689508
../data/raw/S2_2021_Q3_Kharkiv_clean.npy,Kharkiv,2021_Q3,2021,Q3,11.538958,0.4952324468002658,0.2372991034936639,-0.99999885057605,0.94571201956016,-0.023261012819586833,0.2218917254597608,-0.6125201914211937,0.999999549549743,0.011884680233091015,0.20882789385719938,-0.556134251753965,0.6392571177230888,8.21388500904449
../data/raw/S2_2021_Q4_Kharkiv_clean.npy,Kharkiv,2021_Q4,2021,Q4,0.08201,0.12904673477580955,0.11157520077036448,-0.1281197922801863,0.4252056910469122,-0.24783997198000948,0.08386428875041183,-0.6595689104396013,0.272250361639014,-0.16559365577822938,0.04745730029992546,-0.3081871220036375,0.14104691871356198,2.4627568320057303
../data/raw/S2_2022_Q1_Kharkiv_clean.npy,Kharkiv,2022_Q1,2022,Q1,0.474952,0.11882226744414608,0.057700296267675345,-0.19713363102098644,0.5210006081349342,0.07495572318579666,0.1215084874010177,-0.47667268237330856,0.33469017835541404,0.07680410594457934,0.0697786197181718,-0.18152244756005487,0.23833515871288735,7.543406265156545
../data/raw/S2_2022_Q2_Kharkiv_clean.npy,Kharkiv,2022_Q2,2022,Q2,8.81762,0.4197422752899286,0.16087720963379215,-0.23785926136355537,0.9999999822032398,-0.1448867727555168,0.1181705273187211,-0.49223636822855754,0.6602451530557273,-0.0946659654602888,0.09701551250231452,-0.38471381373130675,0.6556657939744451,17.03820125830419
../data/raw/S2_2022_Q3_Kharkiv_clean.npy,Kharkiv,2022_Q3,2022,Q3,19.616976,0.34997176841949396,0.15375390493359462,-0.5803448236798153,0.7154255219486211,-0.05417822624187898,0.14472041775047595,-0.46917585643025017,0.6222976425197599,-0.019552918687041752,0.1164289208570007,-0.373666688412985,0.47399642257068914,5.371739976644609
../data/raw/S2_2022_Q4_Kharkiv_clean.npy,Kharkiv,2022_Q4,2022,Q4,21.934767,0.09602443751840481,0.044390410411003056,-0.17223868608754903,0.35338561101488164,0.0852205752096571,0.06599826055112043,-0.3157309584182861,0.320048110327965,0.06329966331045453,0.05162520978407192,-0.24793575483264793,0.2967338424678987,4.329260639948664
../data/raw/S2_2023_Q1_Kharkiv_clean.npy,Kharkiv,2023_Q1,2023,Q1,22.132435,0.12413772472288732,0.06051128123848183,-0.2836109829721146,0.5122655225731474,0.10072757562893327,0.05903247800356428,-0.3300451900380507,0.4357976551990383,0.08805448579587144,0.04616235511204508,-0.3622733847274074,0.3974979401977198,14.354172434393623
